"","WT.NOR.1","WT.NOR.2","WT.NOR.3","WT.TAM.1","WT.TAM.2","WT.TAM.3","KO.NOR.1","KO.NOR.2","KO.NOR.3","KO.TAM.1","KO.TAM.2","KO.TAM.3"
"Acp5",10.5153397981202,10.6348707600137,10.4684671085174,7.25615111729085,9.25439784189059,7.58682465546739,10.3511950595599,10.3926990821988,10.3835487209936,8.81454303680322,9.80667662708958,9.71407097008852
"Selenom",6.90896832060118,6.99695632902301,6.86586211404228,7.23812127281494,7.62893247514385,7.22300735677862,6.05030713241443,5.81956102230121,6.17343870373064,6.80286869146724,6.26870447470734,5.86126599302166
"Actg2",5.67461422774081,6.09808964563673,5.99124091364107,6.28474159446087,7.16812481363341,6.60713290547101,4.76534477448789,4.69900558037456,5.15570096472014,5.53033343595232,5.51757015730258,4.99438921637203
"Acta2",9.86798245403074,10.019362546142,9.68139233382252,10.8176089444236,11.9503953709086,11.2168060721879,7.02924032246621,6.7444577237148,6.95000874618034,9.82749120495711,9.87144167286143,6.73636454154195
"Adam19",6.09975009114945,6.34447165329895,6.197746153332,6.73485855711482,6.04561023073252,6.28929548512696,4.97123497914096,4.68051614362251,5.05027841496163,7.1997831419281,5.1198338554562,4.8304542608863
"Adam22",4.38947303471863,4.75855125265767,4.65448641456136,4.78055697033089,4.63994188086421,4.61913427045139,5.57388239927225,5.50746731320154,5.46866697894091,6.20445166152489,5.50313632322209,5.66913424111976
"Adam8",9.32866357002038,9.41520944617553,9.37732403395365,11.236467945484,11.4218391401554,11.351179229869,7.44571090068423,7.1863667853331,7.44203301369275,10.353162538776,9.64572526874663,8.79792258179418
"Adm",6.70101012669678,6.71056091409001,6.47378453988118,5.0607202931512,7.71976130926148,4.94035987786429,5.09363991944058,5.30955968151958,4.88386140962981,4.91035138594425,4.86854776922329,5.07428419068815
"Adssl1",7.15157779800537,7.16989693122266,7.22765156152458,8.36912959435456,8.87215633985789,8.25558285961285,6.92619392065073,7.13906270484558,6.95183139926802,7.8529586908419,7.62231117263651,6.89225774267853
"Aebp1",7.4387541068891,7.63322045976086,7.37680910828351,8.4653401928857,9.7848482182444,8.8084061586242,5.56708899335593,5.57561865526152,5.77718077602884,7.85262524722833,7.17546422120182,6.25455124273824
"Aif1",10.0946101538442,10.0008276448514,10.0764624460563,7.81528748434294,8.12834152744545,8.0224641634827,10.4704756629981,10.3996238475831,10.4396474936563,8.68548812083041,10.0208370988506,10.1071160975488
"Alcam",9.06363387608106,9.15369648964775,9.20629964172913,10.2332393178661,9.95155765947181,10.4146818470793,8.12277937315283,8.11125870894588,8.14832100557494,9.32150477566491,8.76104585045847,8.05474972041035
"Prelp",6.93354980908575,6.89778631102846,7.28894858820641,7.21326840361813,8.18764848422837,6.77531404542594,6.34454792166662,6.38576688513877,6.54244439946242,6.4132246370749,6.04095754419278,6.09957367240126
"Alox5",6.06769087899129,6.22825865786045,5.89344495559026,5.01376871180727,6.05369722070851,5.0967983388083,4.88890922437471,4.86645872644825,4.98747191725333,4.4012896623668,4.72724794884331,4.59452600635571
"Anxa3",10.0392727347989,10.0735702868024,10.14705087004,11.5293519925719,11.2905324948502,11.4240753942962,9.0688611425827,9.03457001380631,9.08313941170114,10.9260216348462,9.93694380382343,9.58483947217583
"Fabp4",6.87544224855978,6.6780094968509,6.72908344537484,11.6848146427119,9.79144907117519,10.6799379685655,4.15723582671481,4.71236265965457,5.30910867973655,11.6319938812993,8.09385352921698,7.29772783474752
"Apbb2",8.12437856655847,8.39213021619732,8.19823858028458,9.16716790223664,9.37577080254094,9.31081663144343,6.37936401558406,6.31098661652841,6.27262488157574,8.32601573094773,7.31063741809861,6.42425293429139
"Birc5",6.86420556655998,7.04992201094134,6.68170316875601,7.38827945806925,6.22015678207274,7.62290540776489,5.21014976727065,5.41618719660126,5.02980226962923,4.9696372209052,4.75589915853203,4.0547963066226
"Apoe",6.44559801393497,6.34477178576154,6.29379808481746,7.24700626745059,7.43806351514728,6.97784587873064,7.37133632756755,7.36126288053531,7.37963763327757,7.76417873486448,7.92096032888084,7.86049579351685
"Rhoc",8.22969580229253,8.12288611232412,8.2909208836228,8.98234961456587,9.31191654103519,8.90742760644627,6.88669884956229,7.02717630549379,6.89408433080962,8.68756171683842,7.80978356414657,7.38932774429382
"Rhod",4.55963811630304,4.81581281991896,4.79508110837657,5.67072840234109,6.50611343835168,5.87715851270112,4.75822734945295,4.40339593496413,4.09013502027464,4.80560778545264,4.82126083877862,4.92595500134084
"Art2b",3.63402260911563,3.61395756136868,2.89859959401676,3.36314899288721,3.58549350116985,2.95692360427767,3.3202625719218,2.96168586375212,2.91512479871375,5.93875606581321,4.24782480395965,5.68219192700798
"Atp10a",6.71718319700068,6.64753147785938,6.74957754648884,7.3842528947348,7.05629738707544,7.64048754935452,5.5009135054989,5.91759871493333,5.51204922713006,6.55735544970573,6.35702399953127,6.0544280383632
"Bard1",6.31512839880925,6.28076180454591,6.27993703149882,6.41649040945941,5.94059231159528,6.73923112398099,5.35771818673345,5.26159378112565,5.16000329252664,4.81500255713268,5.20376629655748,4.9889162319544
"Bgn",11.8529038904253,12.0433639478768,11.834194597753,12.1535146162236,12.8070087424141,12.3002277167437,8.28871022040505,8.05536865640182,7.97526210530333,11.7135587953696,10.7956958574532,9.28597226109126
"Blm",7.77756865207821,7.77081100098364,7.8201509244005,8.18126174473238,7.54363457668238,8.34828321784251,7.05257350406628,7.03406427684338,7.10500777200347,7.15220594423017,6.88504314082084,6.74369984192676
"Bmp1",6.55023278208996,6.82258802081489,6.6815697497414,7.54517520204918,8.38656768359884,7.58368844418215,5.6450372523771,5.57631022224806,5.46538458297254,6.74037635427309,6.40600813561508,5.7202304276978
"Bmpr1a",5.64804955209928,5.99596243036331,5.78046252136285,5.99562357916316,6.90784562877254,5.79239000029774,4.45433191319577,4.50291886801797,4.79890983817824,5.70938818274446,5.29893860670513,4.95374054018949
"Bst1",8.12975186508537,8.18874290407795,8.13221366709424,8.57263977931749,10.0168526105811,7.93757168887859,6.48342397530477,6.38765215064321,6.30778409690925,9.46162199224884,8.7369369942443,8.18421002423369
"Brca1",7.16145786002806,6.98613114913393,7.22860495287145,7.32731455340202,7.00297995921353,7.52520249103931,6.7557578674983,6.58627418533457,6.65228280130376,5.93445493303809,6.29404291763945,6.2644571180827
"Brca2",7.15495835934108,7.2599814268299,7.34022587491488,7.06473902252215,6.8164090469408,7.11188479898263,6.70524354081991,6.83538690057126,6.76941059743896,5.86296451595192,6.02985475988137,5.83004064902905
"Bub1",8.21623049758538,8.28766088103703,8.20884230850154,8.85729528722148,7.92500050124281,9.20553950062698,6.68484011315776,6.88845362702579,6.70769857604861,6.52741058791112,6.50270013902221,5.99202468502193
"Bub1b",7.72804356889759,7.68463256691779,7.79291121287212,8.24859747591957,7.29688219306327,8.35450663040564,6.23259864201904,6.37501949268685,6.51929941944543,6.50769794953215,6.15175894688996,5.50303545664198
"Serping1",5.80115879143245,6.04237950520279,5.77534384718146,5.96035497641684,8.19637019757574,5.87046381177951,4.34882467640004,4.45473750401987,3.71301695690709,5.6883230315952,5.37495562019896,4.9587823417125
